pet_ID,pet_name,species,breed,age_years,gender,color,arrival_date,adopted,adoption_date,adopter_id,adopter_name,adopter_age,adopter_city,adopter_previous_pets\
P0001,Sandra,Dog,Yorkshire Terrier,2,Female,White,10/10/24,TRUE,3/11/25,A0001,Megan Rogers,56,Mcgeestad,1\
P0002,Brian,Cat,Tonkinese,1,Female,Golden,9/9/23,TRUE,2/10/24,A0002,Jonathan Hawkins,18,Geneshire,2\
P0003,Timothy,Bird,Amazon Parrot,4,Male,Spotted,10/3/23,FALSE,10/17/23,N/A,N/A,-1,N/A,0\
P0004,Karl,Dog,German Shepherd,1,Female,White,7/28/24,TRUE,8/12/24,A0004,Natalie Rivera,51,North Richard,3\
P0005,Sarah,Rabbit,Dutch,1,Female,Spotted,2/21/24,FALSE,2/26/24,N/A,N/A,-1,N/A,0\
P0006,Dawn,Dog,Labrador Retriever,15,Male,Spotted,6/14/25,FALSE,6/17/25,N/A,N/A,-1,N/A,0\
P0007,Chad,Dog,Siberian Husky,15,Female,Mixed,4/3/25,FALSE,4/21/25,N/A,N/A,-1,N/A,0\
P0008,Jeanne,Hamster,Campbell's Dwarf,4,Female,Spotted,6/17/24,TRUE,8/30/24,A0008,Joyce Garza,74,Port Sarachester,0\
P0009,Ryan,Cat,Abyssinian,11,Female,Mixed,9/8/23,FALSE,9/25/23,N/A,N/A,-1,N/A,0\
P0010,Richard,Dog,French Bulldog,1,Male,Brown,1/6/25,FALSE,2/3/25,N/A,N/A,-1,N/A,0\
P0011,Charles,Hamster,Chinese,7,Male,Grey,12/25/24,FALSE,1/11/25,N/A,N/A,-1,N/A,0\
P0012,James,Cat,Bengal,12,Female,White,6/12/24,FALSE,6/15/24,N/A,N/A,-1,N/A,0\
P0013,Erika,Cat,Bengal,13,Male,Golden,5/4/25,FALSE,5/25/25,N/A,N/A,-1,N/A,0\
P0014,Robin,Rabbit,Dutch,13,Female,Black,9/14/23,TRUE,2/13/24,A0014,Philip Ibarra,63,New Rachelview,2\
P0015,Jennifer,Rabbit,Netherland Dwarf,6,Male,Mixed,6/4/24,FALSE,7/3/24,N/A,N/A,-1,N/A,0\
P0016,Robert,Rabbit,Silver Marten,1,Female,Black,7/3/24,TRUE,8/15/24,A0016,Emily Fernandez,42,Lake Jonathan,0\
P0017,Tamara,Hamster,Roborovski,1,Male,Brown,1/19/24,TRUE,6/2/24,A0017,Mr. Evan Smith,24,Port Timothy,3\
P0018,Kayla,Cat,Maine Coon,4,Female,Golden,4/2/24,TRUE,6/29/24,A0018,Jeffery Zamora,49,Marychester,3\
P0019,Courtney,Bird,Conure,9,Male,White,6/23/24,TRUE,10/10/24,A0019,Kathy Cox,62,Joyton,2\
